a,b,c,d,alpha,IS_HEALTHY,BRAF v600,KRAS c122,KRAS c146,KRAS c61,NRAS c61,NRAS ex2
-2829.6872523622633,5241.087007660393,2.7207407228359264,-82.07355920156219,0.2685058060811394,0.0,0,1,0,0,0,0
-2393.4759621556063,5058.548070052111,2.307299586355597,-81.97652167505699,0.30537716132949416,0.0,0,1,0,0,0,0
-2667.6885751941127,5034.577499458831,2.7294618035805494,-82.09185612805686,0.25917548820815606,0.0,0,1,0,0,0,0
-2225.556401304842,5071.493333434741,2.050978410409794,-81.91163585102413,0.33756791558765514,0.0,0,1,0,0,0,0
-2288.9946018374867,5221.170383849309,1.895123131079634,-81.8420497855395,0.3747764025550513,0.0,0,1,0,0,0,0
-2128.3629881097595,5008.5631725587255,1.7803869673892811,-81.68889088402332,0.33227412839848036,1.0,0,1,0,0,0,0
-2890.428874340482,5170.437572499563,2.898229289832003,-82.08543485970948,0.24257358815627897,0.0,0,1,0,0,0,0
-2114.958021188496,4447.780186097128,3.0008957701279972,-82.29607109931003,0.2425302710010143,0.0,0,1,0,0,0,0
-1958.9505023222619,4576.777051387272,2.465899777903282,-82.12809738092622,0.3072161867173654,0.0,0,1,0,0,0,0
-1791.929059441161,4596.804154505117,2.142139545490555,-82.00792192093215,0.34760313869767734,0.0,0,1,0,0,0,0
-1799.3429139192185,4626.62153718328,2.017338643092051,-81.96611933800433,0.2720182124493455,1.0,0,1,0,0,0,0
-1700.6711680240442,4535.920050929326,2.027717247053739,-82.01394934675632,0.36303785608851163,0.0,0,1,0,0,0,0
-2263.2317873159495,4636.7274987228175,3.6723382412759293,-82.07096165076624,0.12968029204655768,1.0,0,1,0,0,0,0
-1706.2938850429152,4169.249776800912,3.1947501300321637,-81.84596019652402,0.24488408486478813,0.0,0,1,0,0,0,0
-1861.7846513299162,4171.977858536744,3.356780026700889,-81.94801848542124,0.23423993239516505,0.0,0,1,0,0,0,0
-1924.666178034934,4402.141146091029,3.251075569498846,-81.86638224540393,0.24497441155930558,0.0,0,1,0,0,0,0
-2448.9991828939105,4703.6937059765,3.168472646771211,-82.54090269217224,0.20388047706862508,0.0,0,1,0,0,0,0
-2414.1466372634636,4658.579338547849,3.086546726147919,-82.39434290129607,0.15420334427281224,1.0,0,1,0,0,0,0
-2225.2226064718275,4502.215878371463,3.0753740147957225,-82.55491735611824,0.19219740591584838,0.0,0,1,0,0,0,0
-2252.3252582105897,4538.115098535453,3.057046481061091,-82.36071333362881,0.15829644969061993,1.0,0,1,0,0,0,0
-2158.7490482529342,4476.289762156056,3.0871055169964245,-82.54124062579125,0.17453259328635837,0.0,0,1,0,0,0,0
-1915.9314811630857,4206.574681683124,2.953531305829842,-82.42898505972292,0.2417500875237567,0.0,0,1,0,0,0,0
-2242.414984963651,4607.309330631297,2.9361178452082113,-82.50820132630147,0.22636727090903846,0.0,0,1,0,0,0,0
-1594.6372855258933,4185.880437764615,2.371283215467444,-82.31291636320496,0.2890170662855317,0.0,0,1,0,0,0,0
-2182.8642893012875,4605.128853514943,2.9953997286776173,-82.45345900279293,0.22026824649617047,0.0,0,1,0,0,0,0
-2130.9545069416217,4573.992027627335,2.928428552265713,-82.38216942880274,0.23519662844386466,0.0,0,1,0,0,0,0
-2419.2058731685015,4865.099335279181,3.0975093964449836,-82.36945206748939,0.16465038116313055,1.0,0,1,0,0,0,0
-1736.000553279797,4057.9413691315804,3.048108350601849,-82.3811930955425,0.1625617571601326,1.0,0,1,0,0,0,0
-2395.9231370333296,4749.98251834196,2.857699537469777,-82.43717446545078,0.254792377827477,0.0,0,1,0,0,0,0
-2100.7448729169364,4527.983916449739,2.7346502460638074,-82.41078483117653,0.26239760180001354,0.0,0,1,0,0,0,0
-2548.3525736258753,4816.593815014416,3.471955551223607,-82.42331042235418,0.11837009337185252,1.0,0,1,0,0,0,0
-2190.5742823485903,4499.688965821566,2.980009125942698,-82.47710424964735,0.19227977045585065,1.0,0,1,0,0,0,0
-2146.855406128135,4432.633780519844,2.9770699667524045,-82.44044430189241,0.2327855176343002,0.0,0,1,0,0,0,0
-2073.97843848592,4524.093943808888,2.529137264963969,-82.35740914089392,0.287501621140083,0.0,0,1,0,0,0,0
-2366.6884269468783,4754.6223473241635,2.8321884237726844,-82.43235888330898,0.26006372781347514,0.0,0,1,0,0,0,0
-2786.92548414398,5060.685441330316,3.039586829086399,-82.36179534875203,0.2533601811545311,0.0,0,1,0,0,0,0
-3298.697094098889,5632.660804922335,3.500387424825306,-82.29129660168505,0.12835426002090444,0.0,0,1,0,0,0,0
-2870.3023759773314,5193.931079534595,2.925844255611315,-82.27942664335258,0.24435878366368613,0.0,0,1,0,0,0,0
-2678.1917075889537,5014.537483752594,2.9429573126548076,-82.23985489149075,0.2502260733789091,0.0,0,1,0,0,0,0
-2643.5956385636327,5026.338689843142,2.9035602106652094,-82.31451023046564,0.25499039591380823,0.0,0,1,0,0,0,0
-2477.1518395209478,4893.065080976499,2.944688591040827,-82.21477392110165,0.24504340635065494,0.0,0,1,0,0,0,0
-2635.147335467564,4999.326172061086,3.0048757068258714,-82.25145024334911,0.25182515982823883,0.0,0,1,0,0,0,0
-2947.1941253886816,5263.909192603981,2.8203592593373394,-81.98021281033269,0.2020182868663148,0.0,0,1,0,0,0,0
-2822.8591688125066,5292.348546452,2.2415631261229696,-80.84533392438063,0.1379146782948264,0.0,0,0,0,1,0,0
